area_fips,year,annual_avg_emplvl,avg_annual_pay
01001,1990,7871,18399
01003,1990,27710,15210
01005,1990,9356,16928
01007,1990,3923,14806
01009,1990,7212,14466
01011,1990,2959,14990
01013,1990,6076,15667
01015,1990,45316,18712
01017,1990,13547,17305
01019,1990,4260,14706
01021,1990,6239,15038
01023,1990,5514,25850
01025,1990,8578,17518
01027,1990,4495,14650
01029,1990,2552,15389
01031,1990,12561,15084
01033,1990,22690,23126
01035,1990,3911,15683
01037,1990,2173,16048
01039,1990,13421,15427
01041,1990,3710,13765
01043,1990,20424,17077
01045,1990,18235,20543
01047,1990,16862,16217
01049,1990,18797,15751
01051,1990,9708,17295
01053,1990,12248,17419
01055,1990,33696,19957
01057,1990,5840,18773
01059,1990,8423,15518
01061,1990,6188,14161
01063,1990,2521,15476
01065,1990,3173,13803
01067,1990,4697,15433
01069,1990,41172,18968
01071,1990,15726,18482
01073,1990,341242,23142
01075,1990,5774,16482
01077,1990,26650,16331
01079,1990,7269,23116
01081,1990,33716,19413
01083,1990,20820,27809
01085,1990,2802,18771
01087,1990,6989,17527
01089,1990,133980,25553
01091,1990,7057,17070
01093,1990,10430,16856
01095,1990,30311,16311
01097,1990,144429,20831
01099,1990,10253,20851
01101,1990,113638,20171
01103,1990,41669,19731
01105,1990,2922,13492
01107,1990,4606,14678
01109,1990,10479,16430
01111,1990,5339,15775
01113,1990,12271,17737
01115,1990,9652,16875
01117,1990,28538,21350
01119,1990,4859,16363
01121,1990,23202,19245
01123,1990,17015,17098
01125,1990,62155,21035
01127,1990,18705,20453
01129,1990,5217,26321
01131,1990,4012,20719
01133,1990,8470,15265
02013,1990,1426,23159
02016,1990,3793,28053
02020,1990,109585,30917
02050,1990,4529,22994
02060,1990,1029,27454
02070,1990,2319,23403
02090,1990,26712,27964
02100,1990,905,25393
02110,1990,13924,28631
02122,1990,13716,29379
02130,1990,7795,28984
02150,1990,5690,22630
02170,1990,6943,25397
02180,1990,2825,25958
02185,1990,7513,53194
02188,1990,2160,29856
02201,1990,2189,28057
02220,1990,4070,25441
02240,1990,1402,24354
02261,1990,4599,32339
02270,1990,1261,18355
02280,1990,2609,26205
02290,1990,2468,25933
04001,1990,14349,20556
04003,1990,25968,19793
04005,1990,39793,17529
04007,1990,11305,20767
04009,1990,5717,17136
04011,1990,2929,28184
04012,1990,4502,16931
04013,1990,985565,22676
04015,1990,26630,17125
