state,year,state_fips,corporate_tax_rate,federal_tax_rate
Alabama,1980,1,0.05,0.46
Alabama,1981,1,0.05,0.46
Alabama,1982,1,0.05,0.46
Alabama,1983,1,0.05,0.46
Alabama,1984,1,0.05,0.46
Alabama,1985,1,0.05,0.46
Alabama,1986,1,0.05,0.46
Alabama,1987,1,0.05,0.4
Alabama,1988,1,0.05,0.34
Alabama,1989,1,0.05,0.34
Alabama,1990,1,0.05,0.34
Alabama,1991,1,0.05,0.34
Alabama,1992,1,0.05,0.34
Alabama,1993,1,0.05,0.35
Alabama,1994,1,0.05,0.35
Alabama,1995,1,0.05,0.35
Alabama,1996,1,0.05,0.35
Alabama,1997,1,0.05,0.35
Alabama,1998,1,0.05,0.35
Alabama,1999,1,0.05,0.35
Alabama,2000,1,0.05,0.35
Alabama,2001,1,0.065,0.35
Alabama,2002,1,0.065,0.35
Alabama,2003,1,0.065,0.35
Alabama,2004,1,0.065,0.35
Alabama,2005,1,0.065,0.35
Alabama,2006,1,0.065,0.35
Alabama,2007,1,0.065,0.35
Alabama,2008,1,0.065,0.35
Alabama,2009,1,0.065,0.35
Alabama,2010,1,0.065,0.35
Alaska,1980,2,0.094,0.46
Alaska,1981,2,0.094,0.46
Alaska,1982,2,0.094,0.46
Alaska,1983,2,0.094,0.46
Alaska,1984,2,0.094,0.46
Alaska,1985,2,0.094,0.46
Alaska,1986,2,0.094,0.46
Alaska,1987,2,0.094,0.4
Alaska,1988,2,0.094,0.34
Alaska,1989,2,0.094,0.34
Alaska,1990,2,0.094,0.34
Alaska,1991,2,0.094,0.34
Alaska,1992,2,0.094,0.34
Alaska,1993,2,0.094,0.35
Alaska,1994,2,0.094,0.35
Alaska,1995,2,0.094,0.35
Alaska,1996,2,0.094,0.35
Alaska,1997,2,0.094,0.35
Alaska,1998,2,0.094,0.35
Alaska,1999,2,0.094,0.35
Alaska,2000,2,0.094,0.35
Alaska,2001,2,0.094,0.35
Alaska,2002,2,0.094,0.35
Alaska,2003,2,0.094,0.35
